Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
gulnaar-bridal-lehenga,Gulnaar Bridal Lehenga,"<p>Embroidered bridal lehenga with tonal detailing, structured blouse, and fluid dupatta for ceremony dressing.</p>",Zariya,Lehenga,"lehenga,bridal,festive,zariya",TRUE,Size,M,ZAR-LEH-001-M,shopify,15,deny,manual,18900,22900,TRUE,TRUE,https://images.unsplash.com/photo-1756483510760-e03ca7fb36ae?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Gulnaar bridal lehenga,active
mehr-crimson-lehenga,Mehr Crimson Lehenga,"<p>Crimson lehenga designed for festive evenings with a clean silhouette and refined surface work.</p>",Zariya,Lehenga,"lehenga,occasionwear,crimson,zariya",TRUE,Size,M,ZAR-LEH-002-M,shopify,12,deny,manual,16500,,TRUE,TRUE,https://images.unsplash.com/photo-1756483496981-05b741fdd40a?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Mehr crimson lehenga,active
ruhani-tissue-lehenga,Ruhani Tissue Lehenga,"<p>Tissue lehenga with light-reflective movement, occasion blouse, and matching dupatta.</p>",Zariya,Lehenga,"lehenga,tissue,wedding,zariya",TRUE,Size,M,ZAR-LEH-003-M,shopify,10,deny,manual,21200,,TRUE,TRUE,https://images.unsplash.com/photo-1756483510831-34a18c266b93?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Ruhani tissue lehenga,active
sitara-ivory-lehenga,Sitara Ivory Lehenga,"<p>Ivory lehenga with floral embroidery for engagement, reception, and bridal events.</p>",Zariya,Lehenga,"lehenga,ivory,bridal,zariya",TRUE,Size,M,ZAR-LEH-004-M,shopify,9,deny,manual,15600,19500,TRUE,TRUE,https://images.unsplash.com/photo-1756483510859-c0ab4c45782c?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Sitara ivory lehenga,active
noor-sequin-lehenga,Noor Sequin Lehenga,"<p>Sequin lehenga for cocktail and reception styling with a polished drape and evening tone.</p>",Zariya,Lehenga,"lehenga,sequin,reception,zariya",TRUE,Size,M,ZAR-LEH-005-M,shopify,8,deny,manual,14900,,TRUE,TRUE,https://images.unsplash.com/photo-1756483492198-8ca91227489b?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Noor sequin lehenga,active
zehra-festive-lehenga,Zehra Festive Lehenga,"<p>Festive lehenga with lighter volume and elegant detailing for celebration dressing.</p>",Zariya,Lehenga,"lehenga,festive,occasionwear,zariya",TRUE,Size,M,ZAR-LEH-006-M,shopify,10,deny,manual,13200,,TRUE,TRUE,https://images.unsplash.com/photo-1756483488645-5973a1a92e33?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Zehra festive lehenga,active
aarzoo-mirrorwork-lehenga,Aarzoo Mirrorwork Lehenga,"<p>Mirrorwork lehenga with statement blouse and festive shimmer for wedding events.</p>",Zariya,Lehenga,"lehenga,mirrorwork,wedding,zariya",TRUE,Size,M,ZAR-LEH-007-M,shopify,7,deny,manual,22800,,TRUE,TRUE,https://images.unsplash.com/photo-1756483510760-e03ca7fb36ae?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Aarzoo mirrorwork lehenga,active
gul-organza-lehenga,Gul Organza Lehenga,"<p>Organza lehenga with airy volume and modern occasionwear styling.</p>",Zariya,Lehenga,"lehenga,organza,festive,zariya",TRUE,Size,M,ZAR-LEH-008-M,shopify,8,deny,manual,12600,,TRUE,TRUE,https://images.unsplash.com/photo-1756483496981-05b741fdd40a?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Gul organza lehenga,active
qala-embroidered-lehenga,Qala Embroidered Lehenga,"<p>Embroidered lehenga with occasion blouse and tonal detailing for evening celebrations.</p>",Zariya,Lehenga,"lehenga,embroidered,evening,zariya",TRUE,Size,M,ZAR-LEH-009-M,shopify,6,deny,manual,14900,17800,TRUE,TRUE,https://images.unsplash.com/photo-1756483510831-34a18c266b93?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Qala embroidered lehenga,active
nayra-evening-lehenga,Nayra Evening Lehenga,"<p>Evening lehenga with modern line, polished embroidery, and reception-ready styling.</p>",Zariya,Lehenga,"lehenga,evening,reception,zariya",TRUE,Size,M,ZAR-LEH-010-M,shopify,9,deny,manual,18100,,TRUE,TRUE,https://images.unsplash.com/photo-1754230778726-0a578ed2a7ac?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Nayra evening lehenga,active
